"id","ownerid","ageclassid","sexid","kreisid","quartierid"
252,64718,3,1,11,"115"
7160,64718,3,1,11,"115"
14047,64718,3,1,11,"115"
21148,64718,3,1,11,"115"
253,64727,3,1,8,"83"
7161,64727,3,1,8,"83"
14048,64727,3,1,8,"83"
21149,64727,3,1,8,"83"
28489,64727,3,1,8,"83"
36075,64727,3,1,8,"83"
43844,64727,3,1,8,"83"
52346,64727,3,1,8,"83"
254,65665,10,2,8,"82"
7162,65665,10,2,8,"82"
7163,65665,10,2,8,"82"
14049,65665,10,2,8,"82"
14050,65665,10,2,8,"82"
21150,65665,10,2,8,"82"
36076,65665,10,2,8,"82"
43845,65665,10,2,8,"82"
52347,65665,10,2,8,"82"
57943,65665,10,2,8,"82"
255,65681,3,1,2,"21"
7164,65681,3,1,2,"21"
14051,65681,3,1,2,"21"
21151,65681,3,1,2,"21"
28490,65681,3,1,2,"21"
36077,65681,3,1,2,"21"
43846,65681,3,1,2,"21"
52348,65681,3,1,2,"21"
256,65713,10,2,2,"21"
7165,65713,10,2,2,"21"
14052,65713,10,2,2,"21"
21152,65713,10,2,2,"21"
28491,65713,10,2,2,"21"
28492,65713,10,2,2,"21"
36078,65713,10,2,2,"21"
36079,65713,10,2,2,"21"
43847,65713,10,2,2,"21"
43848,65713,10,2,2,"21"
52349,65713,10,2,2,"21"
257,65732,3,1,7,"72"
7166,65732,3,1,7,"72"
14053,65732,3,1,7,"72"
21153,65732,3,1,7,"72"
28493,65732,3,1,7,"72"
36080,65732,3,1,7,"72"
43849,65732,3,1,7,"72"
258,65758,3,2,7,"71"
259,65758,3,2,7,"71"
7167,65758,3,2,7,"71"
7168,65758,3,2,7,"71"
14054,65758,3,2,7,"71"
14055,65758,3,2,7,"71"
21154,65758,3,2,7,"71"
28494,65758,3,2,7,"71"
36081,65758,3,2,7,"71"
43850,65758,3,2,7,"71"
52350,65758,3,2,7,"71"
260,65848,5,1,12,"122"
7169,65848,5,1,12,"122"
261,65940,6,2,8,"81"
7170,65940,6,2,8,"81"
14056,65940,6,2,8,"81"
21157,65940,6,2,8,"81"
28496,65940,6,2,8,"81"
36083,65940,6,2,8,"81"
43852,65940,6,2,8,"81"
52352,65940,6,2,8,"81"
52353,65940,6,2,8,"81"
262,65975,10,2,7,"74"
263,65975,10,2,7,"74"
7171,65975,10,2,7,"74"
7172,65975,10,2,7,"74"
14057,65975,10,2,7,"74"
14058,65975,10,2,7,"74"
21158,65975,10,2,7,"74"
21159,65975,10,2,7,"74"
28497,65975,10,2,7,"74"
28498,65975,10,2,7,"74"
28499,65975,10,2,7,"74"
36084,65975,10,2,7,"74"
36085,65975,10,2,7,"74"
36086,65975,10,2,7,"74"
43853,65975,10,2,7,"74"
43854,65975,10,2,7,"74"
43855,65975,10,2,7,"74"
52354,65975,10,2,7,"74"
52355,65975,10,2,7,"74"
264,65981,3,2,6,"63"
7173,65981,3,2,6,"63"
14059,65981,3,2,6,"63"
21160,65981,3,2,6,"63"
21161,65981,3,2,6,"63"
28500,65981,3,2,6,"63"
28501,65981,3,2,6,"63"
36087,65981,3,2,6,"63"
36088,65981,3,2,6,"63"
43856,65981,3,2,6,"63"
43857,65981,3,2,6,"63"
265,66144,3,1,5,"51"
266,66144,3,1,5,"51"
7174,66144,3,1,5,"51"
7175,66144,3,1,5,"51"
14060,66144,3,1,5,"51"
14061,66144,3,1,5,"51"
21162,66144,3,1,5,"51"
21163,66144,3,1,5,"51"
28502,66144,3,1,5,"51"
28503,66144,3,1,5,"51"
267,66151,3,1,11,"115"
7176,66151,3,1,11,"115"
14062,66151,3,1,11,"115"
21164,66151,3,1,11,"115"
28504,66151,3,1,11,"115"
36089,66151,3,1,11,"115"
43858,66151,3,1,11,"115"
52356,66151,3,1,11,"115"
268,66266,10,1,9,"91"
7177,66266,10,1,9,"91"
14063,66266,10,1,9,"91"
21165,66266,10,1,9,"91"
269,66298,6,1,6,"63"
7178,66298,6,1,6,"63"
14064,66298,6,1,6,"63"
21166,66298,6,1,6,"63"
28505,66298,6,1,6,"63"
36090,66298,6,1,6,"63"
43859,66298,6,1,6,"63"
52357,66298,6,1,6,"63"
270,66515,10,1,8,"83"
271,66515,10,1,8,"83"
7179,66515,10,1,8,"83"
7180,66515,10,1,8,"83"
14065,66515,10,1,8,"83"
14066,66515,10,1,8,"83"
21167,66515,10,1,8,"83"
21168,66515,10,1,8,"83"
28507,66515,10,1,8,"83"
28508,66515,10,1,8,"83"
36092,66515,10,1,8,"83"
36093,66515,10,1,8,"83"
43861,66515,10,1,8,"83"
43862,66515,10,1,8,"83"
52359,66515,10,1,8,"83"
272,66524,3,2,12,"123"
273,66524,3,2,12,"123"
7181,66524,3,2,12,"123"
7182,66524,3,2,12,"123"
274,66702,3,2,6,"61"
7183,66702,3,2,6,"61"
14067,66702,3,2,6,"61"
275,66757,3,2,1,"14"
7184,66757,3,2,1,"14"
14068,66757,3,2,1,"14"
21169,66757,3,2,1,"14"
28509,66757,3,2,1,"14"
36094,66757,3,2,1,"14"
43863,66757,3,2,1,"14"
52362,66757,3,2,1,"14"
276,66898,6,1,7,"73"
7185,66898,6,1,7,"73"
14070,66898,6,1,7,"73"
21171,66898,6,1,7,"73"
28511,66898,6,1,7,"73"
277,66913,3,1,8,"83"
278,66913,3,1,8,"83"
